Age;AlphaForm;BetaWForm;BetaSForm;BetaJForm;GammaForm;CollpF;Duration;RefForm;formation.name;Environments
149.9958333;12.0663;6.634665517;0.747388028;0.837881365;72.852;120;10.3;2;Kap Leslie;3
138.3;4.1766;4.89488898;0.598779077;0.710062641;15.346;35;0;3;Koprivnice;1
134.4888889;2.8622;15.47074449;0.836180987;0.884073601;29.41;45;5.1;9;Agrio;3
133.2;3.8519;3.041521781;0.285291697;0.41791137;8.6;95;0;1;Calcaires … spatangues;1
117.6006579;9.5864;10.84524803;0.862636011;0.91708184;92.77;38;3.295;4;Hiraiga;2
116.1952586;11.6049;15.39594286;0.952131166;0.973101513;162.582;58;12.875;2;Lower Greensand;2
109.7088462;5.1229;15.18187323;0.928157181;0.955190201;61.17;52;21.455;1;Gres verts helvetiques;3
106.15;5.8673;8.539290875;0.815828731;0.886240802;41.15;71;0;1;Kiowa;2
105.09;2.4045;20.58871962;0.939779825;0.954443584;28.788;30;8.3;1;Hilo;1
98.47685185;5.0398;6.122361206;0.650979208;0.755076286;24.704;27;30.725;3;Budden Canyon;2
97.25384615;6.9058;13.00065494;0.883114326;0.924918024;75.72;65;5.5;4;Galala;2
97;7.6137;5.073914876;0.563057236;0.701276113;33.51;31;0;2;Tropic Shale;2
97;8.8267;12.41819047;0.905007494;0.944465705;95.928;142;0;1;Woodbine;1
95.67234043;2.5493;12.59199462;0.795044728;0.855493596;19.338;47;5.2;4;Greenhorn;3
94.42934783;5.5358;13.5527876;0.903822597;0.936087489;60.722;92;5.2;11;Mancos Shale;4
92.73846154;5.6433;13.07504006;0.931129848;0.957922081;59.796;39;5.2;6;Abu Qada;2
92.73592233;3.3303;19.5150712;0.9441337;0.96257359;45.112;103;8;5;Cotinguiba;2
91.8;4.7233;12.31574818;0.87869724;0.925152156;45.772;26;0;4;Wata;2
91.8;4.601;13.19613152;0.933443299;0.958416855;46.668;31;0;4;Abu Qada;1
91.73103448;3.1706;18.74005093;0.929314043;0.952668627;40.332;87;4.25;4;Cotinguiba;2
89.61153846;4.0285;15.79559204;0.885041227;0.918529614;47.802;78;14.05;10;Mancos Shale;4
86.775;3.3732;14.31359037;0.884019705;0.921954718;33.704;38;14.05;7;Niobrara;3
85.80517241;2.5187;10.19901117;0.747229023;0.806249298;15.474;29;2.2;1;Olazagutia;1
82.77142857;3.625;8.633789388;0.778001041;0.850816324;22.446;56;7.6;2;Hinoshima;2
77.75;9.2547;5.17311792;0.69503044;0.80324519;42.474;43;0;1;Jalama;1
75.20580159;5.1795;17.83157949;0.931861252;0.955158508;74.42;63;9.4285;5;Pierre Shale;3
73.53198684;20.4938;10.12991799;0.912277696;0.949913183;194.47;38;9.4285;2;Nacatoch Sand;1
68.5572125;32.3907;10.57100881;0.885922458;0.931412361;337.8;40;9.4285;5;Ripley;2
